iter	Passed	Remaining
0	1	127
1	2	106
2	3	99
3	3	89
4	4	90
5	5	89
6	6	90
7	7	89
8	8	88
9	9	86
10	10	84
11	11	82
12	12	81
13	12	79
14	13	78
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	51
41	35	49
42	36	48
43	37	47
44	38	46
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	39
53	45	39
54	46	37
55	47	37
56	47	36
57	48	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
