iter	Passed	Remaining
0	149	149021
1	151	75585
2	152	50821
3	154	38408
4	155	30985
5	157	26025
6	158	22473
7	159	19814
8	162	17884
9	165	16364
10	166	15003
11	168	13866
12	169	12895
13	171	12086
14	173	11376
15	174	10754
16	177	10280
17	179	9812
18	181	9354
19	182	8945
20	184	8581
21	185	8247
22	186	7938
23	188	7652
24	189	7389
25	191	7177
26	193	6982
27	195	6779
28	196	6586
29	198	6408
30	199	6240
31	201	6080
32	202	5931
33	203	5789
34	205	5679
35	208	5574
36	210	5479
37	212	5369
38	213	5261
39	214	5154
40	216	5053
41	217	4959
42	218	4869
43	221	4807
44	224	4756
45	226	4687
46	227	4611
47	228	4538
48	230	4467
49	231	4399
50	232	4332
51	234	4278
52	237	4236
53	239	4192
54	240	4135
55	242	4079
56	243	4025
57	244	3973
58	246	3923
59	247	3875
60	250	3851
61	253	3827
62	254	3787
63	256	3746
64	257	3705
65	259	3666
66	260	3629
67	262	3596
68	265	3577
69	266	3543
70	268	3507
71	269	3473
72	270	3441
73	272	3406
74	273	3375
75	275	3343
76	276	3313
77	279	3298
78	281	3281
79	282	3254
80	284	3225
81	285	3198
82	286	3164
83	287	3139
84	289	3113
85	290	3088
86	292	3065
87	294	3055
88	296	3033
89	297	3011
90	299	2988
91	300	2966
92	301	2944
93	303	2923
94	304	2902
95	306	2881
96	308	2871
97	310	2859
98	312	2840
99	313	2822
100	314	2803
101	316	2785
102	317	2767
103	319	2750
104	320	2733
105	322	2722
106	324	2707
107	325	2690
108	327	2674
109	328	2658
110	329	2642
111	331	2626
112	332	2610
113	334	2595
114	335	2580
115	338	2580
116	340	2568
117	341	2553
118	343	2539
119	344	2526
120	345	2513
121	347	2498
122	348	2485
123	350	2472
124	352	2467
125	354	2459
126	355	2446
127	357	2435
128	358	2423
129	360	2411
130	362	2402
131	363	2390
132	365	2380
133	367	2377
134	369	2370
135	371	2358
136	372	2347
137	374	2336
138	375	2325
139	376	2315
140	378	2305
141	379	2291
142	381	2284
143	383	2282
144	385	2272
145	386	2262
146	388	2252
147	389	2242
148	390	2232
149	392	2223
150	393	2213
151	395	2204
152	397	2202
153	399	2193
154	400	2185
155	402	2177
156	403	2168
157	405	2160
158	406	2152
159	408	2144
160	409	2133
161	411	2129
162	413	2121
163	414	2113
164	415	2105
165	417	2097
166	418	2088
167	420	2080
168	421	2072
169	422	2065
170	424	2056
171	427	2058
172	429	2053
173	430	2045
174	432	2038
175	434	2032
176	435	2025
177	437	2020
178	439	2013
179	442	2014
180	443	2008
181	445	2001
182	446	1994
183	448	1987
184	449	1980
185	451	1973
186	453	1970
187	456	1971
188	458	1968
189	460	1962
190	461	1956
191	463	1950
192	465	1944
193	466	1937
194	467	1931
195	470	1931
196	473	1929
197	474	1923
198	476	1916
199	477	1910
200	478	1904
201	480	1898
202	481	1892
203	483	1886
204	486	1886
205	488	1882
206	489	1876
207	491	1871
208	492	1865
209	494	1860
210	496	1854
211	497	1849
212	499	1846
213	502	1845
214	503	1839
215	505	1833
216	506	1828
217	508	1822
218	509	1816
219	510	1811
220	512	1807
221	516	1809
222	519	1808
223	520	1803
224	522	1799
225	523	1794
226	525	1789
227	526	1783
228	528	1778
229	531	1779
230	533	1775
231	534	1769
232	536	1764
233	537	1759
234	538	1754
235	540	1749
236	541	1744
237	544	1741
238	546	1739
239	547	1734
240	549	1729
241	550	1725
242	552	1721
243	554	1716
244	555	1712
245	557	1708
246	560	1708
247	562	1704
248	563	1700
249	565	1695
250	566	1690
251	567	1685
252	569	1681
253	571	1677
254	572	1673
255	575	1673
256	577	1669
257	579	1665
258	580	1661
259	582	1656
260	583	1652
261	585	1648
262	586	1644
263	589	1642
264	591	1640
265	592	1635
266	594	1631
267	595	1627
268	597	1622
269	598	1618
270	600	1614
271	601	1610
272	604	1609
273	606	1607
274	608	1603
275	609	1599
276	611	1595
277	612	1591
278	614	1587
279	615	1583
280	617	1579
281	620	1580
282	622	1576
283	623	1572
284	625	1568
285	626	1564
286	628	1560
287	629	1556
288	631	1552
289	632	1548
290	635	1547
291	636	1544
292	638	1540
293	639	1536
294	641	1532
295	643	1529
296	644	1526
297	646	1522
298	649	1522
299	651	1520
300	653	1516
301	654	1513
302	656	1509
303	657	1505
304	659	1502
305	660	1498
306	662	1495
307	665	1494
308	666	1490
309	668	1486
310	669	1483
311	670	1479
312	672	1475
313	673	1471
314	675	1468
315	676	1464
316	679	1464
317	681	1461
318	683	1458
319	684	1455
320	686	1451
321	687	1448
322	689	1444
323	690	1441
324	693	1440
325	696	1439
326	698	1436
327	699	1433
328	701	1431
329	703	1427
330	704	1424
331	706	1421
332	709	1421
333	711	1418
334	712	1415
335	714	1411
336	716	1408
337	717	1405
338	719	1402
339	720	1398
340	723	1397
341	725	1395
342	726	1392
343	728	1388
344	729	1385
345	731	1382
346	733	1379
347	734	1376
348	737	1375
349	740	1374
350	741	1371
351	743	1368
352	744	1365
353	746	1362
354	747	1358
355	749	1355
356	752	1355
357	754	1353
358	756	1350
359	758	1347
360	759	1345
361	761	1342
362	763	1338
363	764	1336
364	769	1338
365	771	1335
366	772	1333
367	774	1330
368	775	1326
369	777	1323
370	779	1321
371	781	1318
372	784	1318
373	786	1316
374	787	1313
375	789	1310
376	790	1306
377	792	1303
378	793	1300
379	796	1299
380	799	1298
381	800	1295
382	802	1292
383	803	1289
384	805	1286
385	806	1283
386	808	1280
387	811	1279
388	813	1277
389	815	1275
390	816	1272
391	818	1269
392	819	1266
393	821	1263
394	822	1260
395	824	1257
396	828	1257
397	830	1255
398	831	1252
399	833	1250
400	834	1247
401	836	1244
402	838	1242
403	841	1241
404	844	1240
405	845	1237
406	847	1234
407	848	1231
408	850	1228
409	852	1226
410	853	1223
411	857	1223
412	859	1221
413	861	1218
414	862	1216
415	864	1213
416	865	1210
417	867	1207
418	868	1204
419	872	1204
420	874	1203
421	876	1200
422	877	1197
423	879	1194
424	881	1192
425	882	1189
426	884	1186
427	886	1185
428	889	1183
429	890	1180
430	892	1177
431	893	1175
432	895	1172
433	896	1169
434	898	1167
435	901	1165
436	903	1164
437	905	1161
438	906	1158
439	908	1155
440	909	1153
441	911	1150
442	912	1147
443	914	1145
444	917	1144
445	920	1142
446	921	1140
447	923	1137
448	924	1134
449	926	1132
450	927	1129
451	929	1126
452	932	1125
453	934	1123
454	936	1121
455	937	1118
456	939	1116
457	941	1113
458	942	1111
459	944	1108
460	948	1108
461	949	1105
462	951	1103
463	953	1101
464	954	1098
465	956	1095
466	957	1093
467	959	1090
